parameters;n_neighbors;min_dist;min_cluster;min_sample;topic_coherence;nr_topics;avg_similarity;topics
de_timber_kl_n_neighbors = 7 min_dist = 0.1 min_cluster = 10 min_sample = 2;7.0;0.1;10.0;2.0;0.4354497511180159;26.0;0.7835686527559956;"0_ls_vgl_kreislaufwirtschaft_abfällen; 1_anpassungsstrategie_deutsche_bundesregierung_deutschen; 2_holzwirtschaft_mio_holz_laubholz; 3_klimawandels_forschung_anpassung_anpassungsforschung; 4_regionen_könnten_klimawandels_anbau; 5_abb_klimamodelle_zeitraum_modell; 6_bevölkerungsschutz_bevölkerung_bund_schutz; 7_gewässer_feuchtgebiete_auswirkungen_führen; 8_holz_holzbau_holzwirtschaft_bauen; 9_szenarien_unsicherheiten_klimasystems_zukünftige; 10_design_produkte_verantwortung_produkten; 11_maßnahmen_sollten_planung_landschaftsplanung; 12_fischerei_arten_ostsee_nord; 13_hitzewellen_straßen_extremes_wetterereignis; 14_ländlichen_raum_holzwirtschaft_arbeitsplätze; 15_anpassung_klimawandel_anpassungsstrategien_zusammenarbeit; 16_dhwr_öffentlichkeitsarbeit_politik_leitsätze; 17_arten_pflanzen_klimasensitiver_überträger; 18_infektionen_erreger_ambrosia_vektoren; 19_cm_jahrhunderts_sogar_winter; 20_kreislaufwirtschaft_kosten_ziele_aktivitäten; 21_risiken_versicherungen_usdollar_banken; 22_indikatoren_anpassungsmaßnahmen_entscheidungsunterstützung_information; 23_sollten_länder_monitoring_konzept; 24_kraftwerke_unterbrechungen_könnten_kühlwasser; 25_baumarten_waldbewirtschaftung_waldbesitzer_kalamitäten"
de_timber_kl_n_neighbors = 7 min_dist = 0.1 min_cluster = 15 min_sample = 3;7.0;0.1;15.0;3.0;0.5153970080656441;13.0;0.8348393251903216;"0_auswirkungen_gewässer_arten_fischerei; 1_anpassungsstrategie_deutsche_deutschen_bundesregierung; 2_anpassung_klimawandels_klimawandel_forschung; 3_anpassung_klimawandel_klimawandels_länder; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_holz_holzwirtschaft_kraftwerke_holzbau; 6_abb_klimamodelle_zeitraum_jahrhunderts; 7_holzwirtschaft_holz_laubholz_nadelholz; 8_unsicherheiten_anpassungsmaßnahmen_indikatoren_szenarien; 9_kreislaufwirtschaft_verantwortung_produkte_design; 10_bevölkerungsschutz_bund_bevölkerung_schutz; 11_maßnahmen_sollten_planung_raumordnung; 12_arten_wälder_könnten_pflanzen"
de_timber_kl_n_neighbors = 7 min_dist = 0.1 min_cluster = 20 min_sample = 5;7.0;0.1;20.0;5.0;0.5521422276318912;9.0;0.8426163282997154;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_arten_gewässer_auswirkungen_könnten; 2_anpassungsstrategie_deutsche_bundesregierung_deutschen; 3_risiken_bund_bevölkerungsschutz_unternehmen; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_abb_klimamodelle_zeitraum_jahrhunderts; 6_holz_holzwirtschaft_holzbau_bauen; 7_holzwirtschaft_holz_nadelholz_laubholz; 8_kreislaufwirtschaft_verantwortung_produkte_design"
de_timber_kl_n_neighbors = 7 min_dist = 0.1 min_cluster = 25 min_sample = 6;7.0;0.1;25.0;6.0;0.5138551230686731;8.0;0.8532167109970936;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_arten_gewässer_könnten_insbesondere; 2_kreislaufwirtschaft_produkte_verantwortung_holz; 3_anpassungsstrategie_deutsche_deutschen_bundesregierung; 4_ls_kreislaufwirtschaft_vgl_abfällen; 5_abb_klimamodelle_zeitraum_jahrhunderts; 6_risiken_bund_bevölkerungsschutz_unternehmen; 7_holz_holzwirtschaft_holzbau_bauen"
de_timber_kl_n_neighbors = 7 min_dist = 0.1 min_cluster = 30 min_sample = 7;7.0;0.1;30.0;7.0;0.5463635825096602;7.0;0.8534522339187354;"0_anpassung_klimawandel_klimawandels_maßnahmen; 1_arten_gewässer_könnten_auswirkungen; 2_kreislaufwirtschaft_produkte_verantwortung_holzwirtschaft; 3_klimamodelle_abb_zeitraum_jahrhunderts; 4_kreislaufwirtschaft_ls_vgl_abfällen; 5_anpassungsstrategie_deutsche_bundesregierung_deutschen; 6_risiken_bund_bevölkerungsschutz_unternehmen"
de_timber_kl_n_neighbors = 7 min_dist = 0.25 min_cluster = 10 min_sample = 2;7.0;0.25;10.0;2.0;0.4918190695395642;1.0;1.0000000000000004;1_infektionen_erreger_entwickeln_ambrosia
de_timber_kl_n_neighbors = 7 min_dist = 0.25 min_cluster = 15 min_sample = 3;7.0;0.25;15.0;3.0;0.5219575913343724;14.0;0.8348077012127163;"0_anpassungsstrategie_deutsche_deutschen_bundesregierung; 1_gewässer_folgen_auswirkungen_kraftwerke; 2_klimawandel_anpassung_maßnahmen_sollten; 3_ls_kreislaufwirtschaft_vgl_abfällen; 4_abb_klimamodelle_zeitraum_jahrhunderts; 5_bevölkerungsschutz_bevölkerung_maßnahmen_katastrophenschutz; 6_klimawandels_könnten_regionalen_anbau; 7_verantwortung_kreislaufwirtschaft_produkte_design; 8_holzwirtschaft_holz_nadelholz_laubholz; 9_holz_holzwirtschaft_holzbau_bauen; 10_ländlichen_raum_holzwirtschaft_forschung; 11_fischerei_arten_nord_ostsee; 12_unsicherheiten_zukünftige_klimaprognose_klimasystems; 13_anpassung_klimawandel_klimawandels_zusammenarbeit"
de_timber_kl_n_neighbors = 7 min_dist = 0.25 min_cluster = 20 min_sample = 5;7.0;0.25;20.0;5.0;0.5777922769829642;8.0;0.8445815968720358;"0_anpassung_klimawandels_klimawandel_maßnahmen; 1_anpassungsstrategie_deutsche_bundesregierung_deutschen; 2_ls_kreislaufwirtschaft_vgl_abfällen; 3_abb_klimamodelle_zeitraum_jahrhunderts; 4_risiken_bund_bevölkerungsschutz_unternehmen; 5_holzwirtschaft_holz_holzbau_bauen; 6_holzwirtschaft_nadelholz_laubholz_holz; 7_kreislaufwirtschaft_verantwortung_produkte_design"
de_timber_kl_n_neighbors = 7 min_dist = 0.25 min_cluster = 25 min_sample = 6;7.0;0.25;25.0;6.0;0.5914531578613182;8.0;0.8405718777328277;"0_anpassung_klimawandels_klimawandel_auswirkungen; 1_ls_kreislaufwirtschaft_vgl_abfällen; 2_klimamodelle_abb_zeitraum_jahrhunderts; 3_anpassungsstrategie_deutsche_deutschen_anpassung; 4_risiken_bund_bevölkerungsschutz_bevölkerung; 5_holzwirtschaft_holz_laubholz_nadelholz; 6_holzwirtschaft_holz_holzbau_bauen; 7_kreislaufwirtschaft_verantwortung_produkte_design"
de_timber_kl_n_neighbors = 7 min_dist = 0.25 min_cluster = 30 min_sample = 7;7.0;0.25;30.0;7.0;0.4775589043188644;5.0;0.8640592889274662;"0_anpassung_klimawandel_klimawandels_folgen; 1_kreislaufwirtschaft_produkte_vgl_produkten; 2_anpassungsstrategie_deutschen_deutsche_bundesregierung; 3_auswirkungen_gewässer_insbesondere_fischerei; 4_risiken_bund_bevölkerungsschutz_katastrophenschutz"
