index,topic,word,score
5,6,torwa,0.06268417292594858
6,6,ergreifen,0.048187026509863645
7,6,beabsichtigt,0.045290867548991004
8,6,innerhalb,0.04316927637602827
9,6,vero,0.04185482546556427
0,7,normen,0.06360191352733889
1,7,europa,0.061360948981756216
2,7,sektoru,0.044268420377821915
3,7,fu,0.04362974474362007
4,7,ischen,0.040726632516566864
5,7,europäische,0.0387376601599946
6,7,beratung,0.03602910004430664
7,7,entwicklung,0.03323873325607058
8,7,ischer,0.030454703207893452
9,7,datenra,0.029013132407077837
0,8,datenaltruistischen,0.1465481637516457
1,8,organisationen,0.13367668274907127
2,8,registrierung,0.08955716712506588
3,8,anerkannten,0.0889278127682742
4,8,organisation,0.07957847492363772
5,8,datenaltruistische,0.07735332991639461
6,8,anerkannte,0.07176107056086564
7,8,zusta,0.06761359679722134
8,8,beho,0.06723325296493678
9,8,fu,0.05178196097647958
0,9,notifizierten,0.15086237392773694
1,9,stellen,0.09638741200705996
2,9,notifizierende,0.0733533638156962
3,9,konformitätsbewertungstätigkeiten,0.06308973244041875
4,9,notifizierung,0.0592595827106282
5,9,stelle,0.054832801424770906
6,9,tätigkeiten,0.05267808944782014
7,9,notifizierte,0.04949266821242708
8,9,behörde,0.04894116017431393
9,9,notifizierenden,0.04428870237749211
0,10,verja,0.07105758684800786
1,10,frist,0.06028983499734324
2,10,anbieter,0.05304359241786742
3,10,ab,0.04848911844213796
4,10,hrungsfrist,0.04727304860267997
5,10,dauer,0.0461673705561
6,10,tag,0.04488881333824489
7,10,zuwiderhandlung,0.04441099178000492
8,10,fu,0.041338578151697995
9,10,verla,0.041162554864412
0,11,begu,0.15387235920364878
1,11,nstigten,0.11665953302560315
2,11,ergebnisse,0.08948916498464107
3,11,ergebnissen,0.0809885229246839
4,11,zugangsrechte,0.05166508110559394
5,11,mer,0.04674445067014077
6,11,nstigte,0.04643381702771956
7,11,eigentu,0.04594014551699182
8,11,gewa,0.04509718188269097
9,11,nutzung,0.037856427964353866
0,12,torwa,0.10925328640039379
1,12,chter,0.07959860471838572
2,12,software,0.07599004335381859
3,12,anwendungen,0.058491149965164746
4,12,chters,0.057271322667295406
5,12,gewerblichen,0.056166553783257224
6,12,zentralen,0.055764112812422856
7,12,daten,0.04941776693515295
8,12,endnutzern,0.04893934446214624
9,12,nutzer,0.046651144485825045
0,13,mitgliedstaat,0.1041669754203068
1,13,behörden,0.09391056641668855
2,13,zuständigen,0.08658620655469502
3,13,stellen,0.07418678998171845
4,13,behörde,0.07399207022401216
5,13,anwendung,0.04861125519614318
6,13,aufgaben,0.044787881624521714
7,13,konformitätsbewertungsstellen,0.04443322815173525
8,13,benennt,0.04153902723245893
9,13,durchführung,0.03943105722899084
0,14,intelligenz,0.18585417765918358
1,14,angefügt,0.12592091906797956
2,14,parlaments,0.12547730805316196
3,14,rates,0.12467924999702565
4,14,yyy,0.11910300367456308
5,14,xx,0.11752619113011425
6,14,künstliche,0.11466732734407681
7,14,folgender,0.11059564626923717
8,14,künstlichen,0.10303327081635347
9,14,europäischen,0.1020411175483828
0,15,bericht,0.1225109499931207
1,15,ischen,0.10293181362199252
2,15,parlament,0.09296375415911994
3,15,rat,0.09296375415911994
4,15,europa,0.08615702324911906
5,15,sozialausschuss,0.052168109355287116
6,15,wirtschafts,0.052168109355287116
7,15,jahre,0.05119931194389008
8,15,bewertung,0.043737730674255494
9,15,bermittelt,0.03876935377327667
